Positive, Negative, Index
30,5,0.89061
31,4,0.91503
32,3,0.93872
33,2,0.96135
34,1,0.98224
1,35,0.04716
2,34,0.08287
3,33,0.11615
4,32,0.14818
5,31,0.1794
6,30,0.21003
7,29,0.24014
8,28,0.26998
9,27,0.29943
10,26,0.32842
11,25,0.35752
12,24,0.38621
13,23,0.41467
14,22,0.44289
15,21,0.47081
16,20,0.49846
17,19,0.52649
18,18,0.55413
19,17,0.58154
20,16,0.60873
21,15,0.63571
22,14,0.66239
23,13,0.68916
24,12,0.71559
25,11,0.74171
26,10,0.76776
27,9,0.79344
28,8,0.81893
29,7,0.84406
30,6,0.86881
31,5,0.89315
32,4,0.91694
33,3,0.94004
34,2,0.96212
35,1,0.98254
1,36,0.04547
2,35,0.08012
3,34,0.11244
4,33,0.14357
5,32,0.17394
6,31,0.20373
7,30,0.23309
8,29,0.26209
9,28,0.29078
10,27,0.31909
11,26,0.34734
12,25,0.37534
13,24,0.40309
14,23,0.43062
15,22,0.45792
16,21,0.48483
17,20,0.51206
18,19,0.53911
19,18,0.5659
20,17,0.59245
21,16,0.61889
22,15,0.64507
23,14,0.6711
24,13,0.69704
25,12,0.72273
26,11,0.74817
27,10,0.77348
28,9,0.79849
29,8,0.82325
30,7,0.84772
31,6,0.87185
32,5,0.89556
33,4,0.91876
34,3,0.94128
35,2,0.96285
36,1,0.98282
1,37,0.04387
2,36,0.07752
3,35,0.10894
4,34,0.13921
5,33,0.16877
6,32,0.19775
7,31,0.22637
8,30,0.2546
9,29,0.28257
10,28,0.31023
11,27,0.33767
12,26,0.365
13,25,0.39204
14,24,0.41895
15,23,0.44562
16,22,0.47204
17,21,0.49825
18,20,0.52479
19,19,0.551
20,18,0.577
21,17,0.60283
22,16,0.62848
23,15,0.65385
24,14,0.6793
25,13,0.70449
26,12,0.72948
27,11,0.75427
28,10,0.77888
29,9,0.80325
30,8,0.82735
31,7,0.8512
32,6,0.87473
33,5,0.89785
34,4,0.92048
35,3,0.94247
36,2,0.96354
37,1,0.98309
1,38,0.04237
2,37,0.07506
3,36,0.10562
4,35,0.13509
5,34,0.16386
6,33,0.19209
7,32,0.21999
8,31,0.24747
9,30,0.27478
10,29,0.30177
11,28,0.32843
12,27,0.35517
13,26,0.38161
14,25,0.40785
15,24,0.4339
16,23,0.45976
17,22,0.48525
18,21,0.51111
19,20,0.53678
20,19,0.56222
21,18,0.58748
22,17,0.61261
23,16,0.63755
24,15,0.66226
25,14,0.68704
26,13,0.71156
27,12,0.73585
28,11,0.76004
29,10,0.78401
30,9,0.80776
31,8,0.83127
32,7,0.85452
33,6,0.87746
34,5,0.90002
35,4,0.92212
36,3,0.9436
37,2,0.96421
38,1,0.98335
1,39,0.04095
2,38,0.07273
3,37,0.10248
4,36,0.13119
5,35,0.1592
6,34,0.18676
7,33,0.21393
