Time,Positive,Negative,Value
14,8,5,-1.30418
14,9,4,-1.30418
14,10,3,-1.30418
14,11,2,-1.30418
14,12,1,-1.30418
14,1,13,-0.853619
14,2,12,-0.853619
14,3,11,-0.853619
14,4,10,-0.853619
14,5,9,-0.853619
14,6,8,-0.853619
14,7,7,-0.853619
14,8,6,-0.853619
14,9,5,-0.853619
14,10,4,-0.853619
14,11,3,-0.853619
14,12,2,-0.853619
14,13,1,-0.853619
14,1,14,-0.419449
14,2,13,-0.419449
14,3,12,-0.419449
14,4,11,-0.419449
14,5,10,-0.419449
14,6,9,-0.419449
14,7,8,-0.419449
14,8,7,-0.419449
14,9,6,-0.419449
14,10,5,-0.419449
14,11,4,-0.419449
14,12,3,-0.419449
14,13,2,-0.419449
14,14,1,-0.419449
14,1,15,0
14,2,14,0
14,3,13,0
14,4,12,0
14,5,11,0
14,6,10,0
14,7,9,0
14,8,8,0
14,9,7,0
14,10,6,0
14,11,5,0
14,12,4,0
14,13,3,0
14,14,2,0
14,15,1,0
15,1,1,-9.32076
15,1,2,-8.15713
15,2,1,-8.15713
15,1,3,-7.20703
15,2,2,-7.20703
15,3,1,-7.20703
15,1,4,-6.38423
15,2,3,-6.38423
15,3,2,-6.38423
15,4,1,-6.38423
15,1,5,-5.64829
15,2,4,-5.64829
15,3,3,-5.64829
15,4,2,-5.64829
15,5,1,-5.64829
15,1,6,-4.97647
15,2,5,-4.97647
15,3,4,-4.97647
15,4,3,-4.97647
15,5,2,-4.97647
15,6,1,-4.97647
15,1,7,-4.35448
15,2,6,-4.35448
15,3,5,-4.35448
15,4,4,-4.35448
15,5,3,-4.35448
15,6,2,-4.35448
15,7,1,-4.35448
15,1,8,-3.77267
15,2,7,-3.77267
15,3,6,-3.77267
15,4,5,-3.77267
15,5,4,-3.77267
15,6,3,-3.77267
15,7,2,-3.77267
15,8,1,-3.77267
15,1,9,-3.22413
15,2,8,-3.22413
15,3,7,-3.22413
15,4,6,-3.22413
15,5,5,-3.22413
15,6,4,-3.22413
15,7,3,-3.22413
15,8,2,-3.22413
15,9,1,-3.22413
15,1,10,-2.70374
15,2,9,-2.70374
15,3,8,-2.70374
15,4,7,-2.70374
15,5,6,-2.70374
